Business_name,Last_update_time,Address,Material_accepted
New York City Bulk Item Curbside Program,"Updated Feb 23, 2016",,Air Conditioners; Barbeque Grills; Carpet; Carpet Padding; Dehumidifiers; Dishwashers; Freezers; Heaters; Household Furniture; Humidifiers; Lumber; Refrigerators; Stoves; Washer/Dryers
IMobile LLC,"Updated Feb 29, 2012",370 7th Ave,Cell Phone Accessories; Cell Phones
The 4th Bin,"Updated Feb 17, 2010",307 7th Ave,Cell Phones; Desktop Computers; Inkjet Cartridges; LCD Computer Monitors; LCD Televisions; MP3 Players; Toner Cartridges
Sprint Store,"Updated Jul 30, 2013",126 W 34th St,Cell Phone Accessories; Cell Phones
Willoughby's,"Updated Feb 11, 2011",298 5th Ave,Cell Phones; Desktop Computers; Game Consoles; Lithium-ion Batteries; MP3 Players; Nickel-cadmium Batteries; Telephones
Cartridge World,"Updated May 15, 2013",225 West 23rd Street,Inkjet Cartridges; Toner Cartridges
ProTek Recycling Inc.,"Updated Mar 25, 2013",276 5th Avenue,Audio Equipment; Blu-Ray Players; Boomboxes; Cables; Calculators; Cassette Players; CD Players; Cell Phone Accessories; Cell Phones; Computer Peripherals - External; Computer Peripherals - Internal; CRT Computer Monitors; CRT Televisions; Desktop Computers; Digital Cameras; DVD Players; Electronic Servers; Game Consoles; GPS Systems; Hard Drives; Home Electronics; Laptop Computers; LCD Computer Monitors; LCD Televisions; MP3 Players; Office Machines; Pagers; Paper Shredders; Printers; Projectors; Receivers; Record Players; Tablets; Telephones; Television Accessories; Two-Way Radios; Typewriters; VCRs
Tekserve,"Updated Jan 23, 2011",119 W 23rd St,Desktop Computers; LCD Computer Monitors; Office Machines
Staples,"Updated Sep 4, 2013",500 8th Avenue,Cell Phone Accessories; Cell Phones; Computer Peripherals - External; CRT Computer Monitors; Desktop Computers; Digital Cameras; GPS Systems; Inkjet Cartridges; Laptop Computers; LCD Computer Monitors; Lithium-ion Batteries; MP3 Players; Nickel-cadmium Batteries; Office Machines; Paper Shredders; Printers; Tablets; Toner Cartridges
Cartridge World,"Updated May 15, 2013",155 West 35th Street,Inkjet Cartridges; Toner Cartridges
